match,match_weight,repo_full_name,repo_html_url,repo_id
MS01-023,4.694835680751174e-05,offensive-security/exploitdb,https://github.com/offensive-security/exploitdb,14902556
MS01-023,8.664009703690868e-05,sepehrdaddev/packetstorm-exploits,https://github.com/sepehrdaddev/packetstorm-exploits,271076842
MS01-023,0.0002133560913164,rapid7/metasploit-framework,https://github.com/rapid7/metasploit-framework,2293158
MS01-023,0.0002134016218523,ru-faraon/metasploit-framework,https://github.com/ru-faraon/metasploit-framework,372254030
MS01-023,0.0002148227712137,talentsec/metasploit,https://github.com/talentsec/metasploit,370253962
MS01-023,0.0002649006622516,hahwul/mad-metasploit,https://github.com/hahwul/mad-metasploit,102696209
MS01-023,0.0003074085459575,AlanFoster/metasploit-docs-spike,https://github.com/AlanFoster/metasploit-docs-spike,262667812
MS01-023,0.001577287066246,insightglacier/Dictionary-Of-Pentesting,https://github.com/insightglacier/Dictionary-Of-Pentesting,290509547
MS01-023,0.0018115942028985,nop-tech/Pentesting,https://github.com/nop-tech/Pentesting,365018640
MS01-023,0.0034602076124567,asr511/windows-kernel-exploits,https://github.com/asr511/windows-kernel-exploits,400130573
MS01-023,0.0034602076124567475,SecWiki/windows-kernel-exploits,https://github.com/SecWiki/windows-kernel-exploits,89315980
MS01-023,0.0034602076124567475,mishmashclone/SecWiki-windows-kernel-exploits,https://github.com/mishmashclone/SecWiki-windows-kernel-exploits,225470403
MS01-023,0.0037735849056603774,alichtman/writeups,https://github.com/alichtman/writeups,196810793
MS01-023,0.0058479532163742,AonCyberLabs/Windows-Exploit-Suggester,https://github.com/AonCyberLabs/Windows-Exploit-Suggester,21613236
MS01-023,0.0058479532163742,3hydraking/Windows-Exploit-Suggester-Python3,https://github.com/3hydraking/Windows-Exploit-Suggester-Python3,386444638
MS01-023,0.005847953216374269,gotr00t0day/FindExploits,https://github.com/gotr00t0day/FindExploits,376345262
MS01-023,0.005847953216374269,evilmorty06/Windows-Exploit-Suggester-Functional,https://github.com/evilmorty06/Windows-Exploit-Suggester-Functional,375213138
MS01-023,0.0058823529411764705,3hydraking/windows-exploit-suggester,https://github.com/3hydraking/windows-exploit-suggester,377846303
MS01-023,0.0066666666666666,0dff03e35e441de3084d705f632e8976/exploit_win,https://github.com/0dff03e35e441de3084d705f632e8976/exploit_win,385117277
MS01-023,0.009259259259259259,unkn0wnh4ckr/hackers-tool-kit,https://github.com/unkn0wnh4ckr/hackers-tool-kit,166695695
MS01-023,0.010204081632653,Dex556/FindSploit,https://github.com/Dex556/FindSploit,384150130
MS01-023,0.01020408163265306,1N3/Findsploit,https://github.com/1N3/Findsploit,32337400
