match,match_weight,repo_url,repo_full_name,repo_id
GPZ-1528,1.00000000,https://github.com/jzell001/Transient-Execution-Attacks,jzell001/Transient-Execution-Attacks,177435000
GPZ-1528,0.06666667,https://github.com/IAIK/transientfail,IAIK/transientfail,183587997
GPZ-1528,0.03125000,https://github.com/codexlynx/hardware-attacks-state-of-the-art,codexlynx/hardware-attacks-state-of-the-art,237808681
